Timestamp,Select one of the options below:,What is your age? (in years),What is your sex?,How is your eyesight?,Are you right- or left handed?,Do not change (experiment ID)
1/22/2025 14:28:34,I agree to participate in the study,22,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,09f74c
1/23/2025 9:04:10,I agree to participate in the study,21,female,"""normal"" (I don't need contacts or glasses)",right handed,d43520
1/23/2025 10:00:54,I agree to participate in the study,23,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,380c12
1/27/2025 9:26:26,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,c11b2c
1/27/2025 10:28:39,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,5f89ef
1/27/2025 11:25:25,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,8ae5cc
1/27/2025 12:48:40,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,bdd33e
1/27/2025 13:47:18,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,ea2c69
1/28/2025 12:49:05,I agree to participate in the study,21,female,"""normal"" (I don't need contacts or glasses)",right handed,5beada
1/28/2025 14:12:56,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,104aa7
1/28/2025 15:12:59,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,0ced98
1/29/2025 12:43:56,I agree to participate in the study,26,female,"""normal"" (I don't need contacts or glasses)",right handed,fae6b4
1/29/2025 13:57:31,I agree to participate in the study,21,female,"""normal"" (I don't need contacts or glasses)",right handed,d95f91
1/29/2025 14:53:04,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",left handed,7eebf5
1/29/2025 14:57:02,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,2b1824
1/29/2025 15:01:51,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,a040f5
1/29/2025 15:05:17,I agree to participate in the study,19,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,fdaac1
1/29/2025 15:55:13,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,9fbc25
1/30/2025 9:22:49,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,21f451
1/30/2025 10:34:03,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,81b745
1/30/2025 11:32:15,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,b2eb34
1/30/2025 12:36:20,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,93d4d0
1/30/2025 13:43:02,I agree to participate in the study,33,female,"""normal"" (I don't need contacts or glasses)",right handed,2875f6
1/30/2025 13:44:06,I agree to participate in the study,33,female,"""normal"" (I don't need contacts or glasses)",right handed,2875f6
1/30/2025 13:47:22,I agree to participate in the study,33,female,"""normal"" (I don't need contacts or glasses)",right handed,11f303
1/31/2025 11:25:48,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,de5340
1/31/2025 12:16:56,I agree to participate in the study,18,male,"""normal"" (I don't need contacts or glasses)",right handed,868829
2/3/2025 9:23:58,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,48ca60
2/3/2025 11:20:57,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,ead7b1
2/3/2025 12:27:23,I agree to participate in the study,21,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,eeee57
2/3/2025 13:39:59,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,6dc57f
2/4/2025 12:47:23,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,722037
2/4/2025 14:10:04,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,597216
2/4/2025 16:17:54,I agree to participate in the study,23,male,"""normal"" (I don't need contacts or glasses)",right handed,c74dd7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
